category,abs_weight_error,abs_volume_error,count
패션소품 액세서리 키링/키케이스,0.2922652932140598,0.9773809523809525,4
생활/건강>주방용품>주방잡화>일회용식기,0.793179552231854,0.9770928373443634,3
HOME > MEN > 전체 > ,0.5098039215686274,0.9768347594434552,1
홈 > FEMALE > ,0.6282527881040892,0.9767495931178796,1
상세정보 > 기본정보 > 상품후기 (12744) > 상품문의 (1863) > ,0.4736842105263157,0.9765886287625418,1
Home > Jacket > ,0.7821350762527233,0.9765807962529274,1
로그인 / 회원가입 > 마이 페이지 > ,0.8119122257053292,0.9763824397204286,1
패션의류>남성의류>니트/스웨터,0.7304582210242587,0.9763655462184874,1
패션잡화>주얼리>목걸이>패션목걸이,0.4285714285714285,0.9761904761904762,1
쥬얼리 > 반지 > 패션반지 > ,0.375,0.975949975949976,1
모펀 콜라보 > 모펀 x 4Artists > 비나우 (BNOW) > 앙상블 스타즈!! > 에일리언 스테이지 > 승리의 여신: 니케 > 기타 > ,0.6869330430513756,0.9759362412157232,3
국내도서 > 잡지 > 여성/남성 > 남성지 > ,0.8285714285714285,0.9757692307692308,1
패션소품 주얼리 귀걸이,0.8787878787878789,0.9756335282651072,1
생활/건강>문구/사무용품>카드/엽서/봉투>봉투,0.4431957318314904,0.9755416557403548,5
건강관리용품>지압기>지압기,0.1304347826086956,0.9755,1
멀티툴 나이프 > 기타 > ,0.2857142857142857,0.9754754754754756,1
more > 검색 > 0 > ,0.7555555555555555,0.9754464285714286,2
쿠팡 홈 > 쿠팡수입 > 식품 > 과자/초콜릿/시리얼 > 젤리/캐러멜 > 마시멜로 > ,0.874326750448833,0.9750487329434698,1
컴퓨터 주변기기>PC액세서리>PC액세서리 기타,0.8513278037460399,0.974769058928422,3
남자 > 주얼리 > ,0.5918367346938775,0.9746963562753036,1
HOME > 홈/라이프 > 패션 > 지갑/파우치 > 파우치 > 패브릭파우치 > ,0.25,0.9745269286754004,1
HOME > 건강관리용품 > 개인결제창 > 기타건강용품 > ,0.7142857142857143,0.9745041984446338,1
과자/빵/떡>한과/화과자,0.9549295774647888,0.9744637385086824,1
홈 > WOMEN > ,0.5488721804511278,0.9742532940335612,1
가방/지갑 > 남성지갑 > ,0.2645833333333333,0.9741111829347123,2
식품>제과/제빵재료>기타제과/제빵재료,0.9520613614573348,0.9739698299917536,1
화장품/미용>베이스메이크업>파운데이션>크림형,0.0361445783132529,0.9739500265816056,1
Home > SHOP > OUTWEAR > undefined > ,0.7311827956989247,0.9739175795513824,1
식품>음료>커피>캡슐커피,0.714828897338403,0.97381146289321,1
커피/음료 > 커피 > 커피믹스,0.943127962085308,0.9734623819786828,1
Home > outer > ,0.6621621621621622,0.9734168241965974,1
undefined > 마이페이지 > ,0.7818181818181817,0.9733589087809036,1
홈 > Toy > 영실업 > 또봇 > ,0.8110979929161748,0.9732649498035792,1
뷰티/미용 > 베이스메이크업 > 쿠션팩트 > ,0.28571428571428564,0.973245294430207,2
뷰티상품군 > 더모뷰티/H&B > 기타화장품 > 헤어케어,0.2735042735042735,0.9731858555387968,1
생활/건강>문구/사무용품>노트/수첩>메모지,0.9577167019027484,0.9728260869565216,1
식품>과자/베이커리>가공안주류,0.8731501057082454,0.9728049728049728,1
신선식품 > 김/해조류 > 김,0.4791666666666666,0.9727255016559516,1
홈 > NEW -10% > undefined > undefined > ,0.5833333333333334,0.9725662114486686,1
HOME > 교보Only > 책향 > 방향제/스프레이 > ,0.6129032258064516,0.9725274725274724,1
가공식품>컵라면>비빔면/짜장면>컵 비빔라면,0.37007440066133923,0.9725009795708084,2
식품>음료>건강/기능성음료>에너지음료,0.1063829787234042,0.9721970236295951,1
생활/건강>자동차용품>키용품>스마트키,0.7849462365591398,0.972027972027972,1
헤어케어>헤어스타일링>헤어롤,0.7073170731707317,0.9719771241830064,1
화장품/미용>남성화장품>남성화장품세트,0.5918367346938775,0.9719679633867276,1
TOM GREYHOUND > 2000ARCHIVES > 잡화 > 기타 ACC > 양말 > ,0.4444444444444444,0.9718808874391924,1
undefined > 패션소품 > 키링 > ,0.5,0.97175978876322,1
NEW DROP OPEN > ,0.7285067873303167,0.9711399711399712,1
Home > 맞춤관리 > 세차도구 > 기타 악세사리 > ,0.794344473007712,0.9710673598155718,1
카테고리 > 에이지알 > 홈 > 이벤트 > 로그인 > ,0.6363636363636362,0.9706959706959708,1
HOME > 패션잡화 > 지갑/파우치 > 지갑 > 키홀더/키링,0.42558761791765354,0.9705327865492863,31
화장품/향수>선케어>선크림,0.9357798165137614,0.9704810467656968,1
홈 > GERANIUM GEM > ,0.8816568047337279,0.970407196969697,1
뷰티 > 바디케어 > 립케어 > 립밤,0.1666666666666666,0.9703703703703704,1
Home > 선물하기 (GIFT) > MARITHÉ > 5 - 10만 원 > undefined > ,0.5983935742971888,0.9703653214992184,1
도서/티켓/문구 > 도서 > 간행물 > ,0.5255644270656346,0.9703427062094716,9
도서>만화>순정만화,0.8446934704315111,0.9700343064700556,3
식품>건강식품>건강즙/과일즙>기타건강즙/과일즙,0.8480243161094225,0.9700282896245892,1
이전 페이지 > 닥터지유 X FITANY (글루타치온 플러스) > 장바구니 > 배송조회 > ,0.6129032258064516,0.9699248120300752,1
스포츠/레저 > 골프 > 골프 남성 의류 > ,0.7032640949554896,0.9698338124617728,1
도서/음반/문구 > 소설/만화책 > 소설책 > ,0.8763523956723339,0.969758064516129,1
차세트,0.1304347826086956,0.9697530864197532,1
패션 액세서리 > 키링/키케이스 > ,0.4138056413163911,0.9697207629136989,24
Home > ALL MEN > ,0.3827160493827161,0.9696932471705616,1
장난감/완구>인형>봉제인형,0.726027397260274,0.96967951244656,1
과자/간식>스낵/시리얼>과자쿠키/비스킷/크래커>쿠키과자,0.8246154356814991,0.9693656204116698,3
생활가전 액세서리,0.4736842105263157,0.9692516894351756,1
출산/육아>물티슈>캡형,0.9055492395551901,0.9691540009719638,2
건강/의료용품 > 일반의료용품 > 밴드,0.0526315789473684,0.9691522546000158,1
생활/건강>청소용품>밀대/패드,0.5640326975476839,0.9690940353470526,1
패션잡화>주얼리>귀걸이>패션귀걸이,0.7142857142857143,0.9690077009664638,1
신선식품>김/해조류>김,0.6315192743764172,0.9688938426934439,2
NOTICE > REVIEW > Q&A > COLLECTION > ,0.776536312849162,0.968873210209587,1
Home > 2025SS > ,0.5717168011738811,0.9686580416430257,2
홈 > MEN > OUTERWEAR > ,0.7630331753554502,0.9684343434343434,1
속옷/홈웨어 홈웨어 ,0.6300464382268101,0.9682923022581467,2
장난감/완구 > 역할놀이완구 > 기타역할놀이완구,0.7269624573378839,0.9680326197757392,1
상세설명 > 상품평 > 상품문의 > 교환/반품 > 연관상품 5 > ,0.5402298850574713,0.9679320078753288,1
홍삼/건강/다이어트식품>홍삼/인삼>홍삼액/홍삼정,0.8739495798319329,0.967925219941349,1
생활/건강>주방용품>제과/제빵용품>계량스푼,0.7894736842105263,0.9674160964483544,1
도서음반/e교육 > 음반 > OST,0.5121951219512194,0.9673333333333334,1
Home > 🏆베스트 > ,0.8408488063660478,0.9672683063686524,1
